,edit_history_tweet_ids,id,text,withheld
0,['1603159736269950976'],1603159736269950976,"@Jake310x beauty and essex (hollywood), cara cara (dtla), the perch (dtla), bottega louie (dtla), sugarfish, openaire",
1,['1603121095829295107'],1603121095829295107,My new thing is having breakfast. My newer thing is having a European style breakfast. Latte and an Apple Turnover. Yum. And that’s REAL LATTE ART @sionsteven @ Bottega Louie West Hollywood https://t.co/cfCpOJ1qNx,
2,['1602862331402551298'],1602862331402551298,I checked in at Bottega Louie on #Yelp https://t.co/lc1zCtIMZS,
3,['1602103650477699072'],1602103650477699072,"@MRossG199 You have a good list. SM pier, Griffith observatory, LACMA, tar pits, Bottega Louie dt, rent bikes in Venice",
4,['1601666706853838852'],1601666706853838852,"Day 5: Bottega Louie Bakery, Santee Alley, Broken Mouth Food , Last Bookstore, 76ers beat LA Lakers and Amy Shumer https://t.co/Rj40uQ3TKv",
5,['1601640723295531009'],1601640723295531009,RT @WeHoLove: Holiday pastries at Bottega Louie West Hollywood on Santa Monica Blvd https://t.co/cAtQxyhjUa,
6,['1601490837266845696'],1601490837266845696,RT @WeHoLove: Holiday pastries at Bottega Louie West Hollywood on Santa Monica Blvd https://t.co/cAtQxyhjUa,
7,['1601452328925925376'],1601452328925925376,@DAPWrites bottega louie,
8,['1600970541526966272'],1600970541526966272,@mfjp_ i loveee that area. i was in the central business district above bottega louie. loved it,
9,['1600875115931017216'],1600875115931017216,@djay17 This one H&amp;H in dtla right next to Bottega Louie. It was pretty good! The drinks were great,
10,['1603024154705375232'],1603024154705375232,"左あきなん
右わたし

久々にSONGSを観て気付いた…
明菜ちゃんと私…
めっちゃ同じ時期に同じところ歩いてる😱
これまじで偶然

ちなみにこのThe Griddle Cafeってとこ、J.Loとかセレブリティーも行く人気店。ワッフルがピザぐらいの大きさでめっちゃ美味しかった。
#中森明菜 https://t.co/5OYEFUzgcb",
11,['1603141984226525184'],1603141984226525184,"Someone gifted me a salt&amp;straw candle in the mail but there’s no name 🥺🥺🥺

I love it tysm if you exist on here",
12,['1603133880755957761'],1603133880755957761,"@ItsMissJulia Powell’s really is all that, Salt &amp; Straw is too, Voodoo is just wacky toppings on an average donut, Laurelhurst Market is delicious if you want a fancier/date night meal, Papa Haydn has the best desserts. Sadly not up on new places bc small kids.",
13,['1603105931931185152'],1603105931931185152,8. Parker House Rolls flavored ice cream from Salt &amp; Straw,
14,['1603088379863879682'],1603088379863879682,"All dressed up and ready to go? Share a photo of your holiday party on our Facebook page for a chance to win a prize package from INSP. 
Prize includes: 
Salt &amp; Straw gift card
Ice cream cones and toppings
Ice cream scoop
#UnwrapTheHolidays
https://t.co/NdpaFfQfCi https://t.co/HQCVt8WJcP",
15,['1603063617913782272'],1603063617913782272,Salt &amp; Straw Peppermint Cocoa is unmatched😍,
16,['1603042409855811589'],1603042409855811589,"@bitdern @wahmahchi @airto888 If you're into floral.

https://t.co/YKXh7OYMEr",
