,id,alias,name,image_url,is_closed,url,review_count,categories,rating,coordinates,transactions,price,location,phone,display_phone,distance
0,TkFEKhsCixPWlShULKvMdQ,bottega-louie-los-angeles,Bottega Louie,https://s3-media1.fl.yelpcdn.com/bphoto/rAImnKvUNcNY8i6qEDWrZA/o.jpg,False,https://www.yelp.com/biz/bottega-louie-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,17860,"[{'alias': 'italian', 'title': 'Italian'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}]",4.0,"{'latitude': 34.047056, 'longitude': -118.256544}",['delivery'],$$,"{'address1': '700 S Grand Ave', 'address2': None, 'address3': '', 'city': 'Los Angeles', 'zip_code': '90017', 'country': 'US', 'state': 'CA', 'display_address': ['700 S Grand Ave', 'Los Angeles, CA 90017']}",+12138021470,(213) 802-1470,6187.871777642557
1,OSYoTFAfq9_wFyDH_qUsTA,the-griddle-cafe-los-angeles-2,The Griddle Cafe,https://s3-media2.fl.yelpcdn.com/bphoto/ba181B9JWHGl1tBow7iK_Q/o.jpg,False,https://www.yelp.com/biz/the-griddle-cafe-los-angeles-2?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,6498,"[{'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'cocktailbars', 'title': 'Cocktail Bars'}]",4.0,"{'latitude': 34.097727, 'longitude': -118.362275}",['delivery'],$$,"{'address1': '7916 Sunset Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90046', 'country': 'US', 'state': 'CA', 'display_address': ['7916 Sunset Blvd', 'Los Angeles, CA 90046']}",+13238740377,(323) 874-0377,5507.258417453151
2,amNWerp63joyW5M6tVbMcQ,sk-donuts-and-croissant-los-angeles,SK Donuts & Croissant,https://s3-media3.fl.yelpcdn.com/bphoto/KJMZ0eazBbMFmg9ode6uoA/o.jpg,False,https://www.yelp.com/biz/sk-donuts-and-croissant-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,2637,"[{'alias': 'donuts', 'title': 'Donuts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'vegan', 'title': 'Vegan'}]",4.5,"{'latitude': 34.06895, 'longitude': -118.34747}","['pickup', 'delivery']",$,"{'address1': '5850 W 3rd St', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['5850 W 3rd St', 'Los Angeles, CA 90036']}",+13239352409,(323) 935-2409,2546.557077280181
3,bJVTVJYJL8Es0PzhBsHz8g,tea-master-matcha-cafe-and-green-tea-shop-los-angeles,Tea Master Matcha Cafe & Green Tea Shop,https://s3-media2.fl.yelpcdn.com/bphoto/Fua3LsXjQYSdkIXEM9ZYkQ/o.jpg,False,https://www.yelp.com/biz/tea-master-matcha-cafe-and-green-tea-shop-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,1742,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}, {'alias': 'juicebars', 'title': 'Juice Bars & Smoothies'}]",5.0,"{'latitude': 34.0471823589909, 'longitude': -118.238639755523}",['delivery'],$,"{'address1': '450 E 2nd St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90012', 'country': 'US', 'state': 'CA', 'display_address': ['450 E 2nd St', 'Los Angeles, CA 90012']}",+12136801006,(213) 680-1006,7795.073519381259
4,l5AhBWCPmPk4EKq1bu04EQ,saffron-and-rose-persian-ice-cream-los-angeles,Saffron and Rose Persian Ice Cream,https://s3-media1.fl.yelpcdn.com/bphoto/8puXhFgNTRkRRb1tc4DdXw/o.jpg,False,https://www.yelp.com/biz/saffron-and-rose-persian-ice-cream-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,2752,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"{'latitude': 34.0553693, 'longitude': -118.441979}","['pickup', 'delivery']",$$,"{'address1': '1387 Westwood Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90024', 'country': 'US', 'state': 'CA', 'display_address': ['1387 Westwood Blvd', 'Los Angeles, CA 90024']}",+13104775533,(310) 477-5533,11149.75775693308
5,ikF6L0HiC3_AhAiywWzS3g,salt-and-straw-los-angeles,Salt & Straw,https://s3-media3.fl.yelpcdn.com/bphoto/j1R2YEl6bC8muSCgo3VL3w/o.jpg,False,https://www.yelp.com/biz/salt-and-straw-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,2291,"[{'alias': 'icecream', 'title': 'Ice Cream & Frozen Yogurt'}]",4.5,"{'latitude': 34.075825, 'longitude': -118.3235051}","['pickup', 'delivery']",$$,"{'address1': '240 N Larchmont Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90004', 'country': 'US', 'state': 'CA', 'display_address': ['240 N Larchmont Blvd', 'Los Angeles, CA 90004']}",+13234724195,(323) 472-4195,1594.9586706344362
6,0WyRlH-fxOVLh1b3oEBEEQ,urth-caffé-downtown-la-los-angeles-3,Urth Caffé- Downtown LA,https://s3-media3.fl.yelpcdn.com/bphoto/37av4BmszHqtM7zNSe_aGg/o.jpg,False,https://www.yelp.com/biz/urth-caff%C3%A9-downtown-la-los-angeles-3?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,5734,"[{'alias': 'coffee', 'title': 'Coffee & Tea'}, {'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'sandwiches', 'title': 'Sandwiches'}]",4.0,"{'latitude': 34.041974, 'longitude': -118.235426}","['pickup', 'delivery']",$$,"{'address1': '451 S Hewitt St', 'address2': '', 'address3': None, 'city': 'Los Angeles', 'zip_code': '90013', 'country': 'US', 'state': 'CA', 'display_address': ['451 S Hewitt St', 'Los Angeles, CA 90013']}",+12137974534,(213) 797-4534,8213.757219253852
7,ohosmz6FXVAeoW5nUkYwng,pine-and-crane-los-angeles-5,Pine & Crane,https://s3-media1.fl.yelpcdn.com/bphoto/0x7KQwIXU11WCaZeCW_W8w/o.jpg,False,https://www.yelp.com/biz/pine-and-crane-los-angeles-5?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,2755,"[{'alias': 'taiwanese', 'title': 'Taiwanese'}, {'alias': 'chinese', 'title': 'Chinese'}, {'alias': 'bubbletea', 'title': 'Bubble Tea'}]",4.5,"{'latitude': 34.0905963760163, 'longitude': -118.277172084005}",['delivery'],$$,"{'address1': '1521 Griffith Park Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90026', 'country': 'US', 'state': 'CA', 'display_address': ['1521 Griffith Park Blvd', 'Los Angeles, CA 90026']}",+13236681128,(323) 668-1128,5194.416103113438
8,xVSv26KBQexP4M0l63SGlg,alcove-cafe-and-bakery-los-angeles,Alcove Café & Bakery,https://s3-media2.fl.yelpcdn.com/bphoto/dOIdDlf-Da34-Xfv6x4V_w/o.jpg,False,https://www.yelp.com/biz/alcove-cafe-and-bakery-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,4616,"[{'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'breakfast_brunch', 'title': 'Breakfast & Brunch'}, {'alias': 'newamerican', 'title': 'American (New)'}]",4.0,"{'latitude': 34.106215, 'longitude': -118.28776}",['delivery'],$$,"{'address1': '1929 Hillhurst Ave', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90027', 'country': 'US', 'state': 'CA', 'display_address': ['1929 Hillhurst Ave', 'Los Angeles, CA 90027']}",+13236440100,(323) 644-0100,5848.874096503205
9,YA3bV7kd3RpWPvrarIgpWQ,milk-jar-cookies-los-angeles,Milk Jar Cookies,https://s3-media2.fl.yelpcdn.com/bphoto/LFM00rFmy4Zgi3kEB1jDTg/o.jpg,False,https://www.yelp.com/biz/milk-jar-cookies-los-angeles?adjust_creative=JcTq9EjEtknl5cOkWyCAVg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=JcTq9EjEtknl5cOkWyCAVg,1669,"[{'alias': 'desserts', 'title': 'Desserts'}, {'alias': 'bakeries', 'title': 'Bakeries'}, {'alias': 'coffee', 'title': 'Coffee & Tea'}]",4.5,"{'latitude': 34.0621217190808, 'longitude': -118.347790289087}","['pickup', 'delivery']",$$,"{'address1': '5466 Wilshire Blvd', 'address2': '', 'address3': '', 'city': 'Los Angeles', 'zip_code': '90036', 'country': 'US', 'state': 'CA', 'display_address': ['5466 Wilshire Blvd', 'Los Angeles, CA 90036']}",+13236349800,(323) 634-9800,2433.512393414888
